MASHONALAND WEST PROVINCE: 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS:30 JULY 2018 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chegutu,Chegutu East,Chegutu RDC,2,Diura Business Centre Tent,3200CHE0201,1,149,1,0,0,0,0,1,0,0,1,0,1,0,97,2,0,2,1,0,0,0,1,3,0,260,257
Chegutu,Chegutu East,Chegutu RDC,2,Gurungwa Primary School,3200CHE0202,5,83,1,0,1,0,0,2,0,3,0,1,0,1,309,2,0,1,1,0,0,0,0,4,0,414,410
Chegutu,Chegutu East,Chegutu RDC,2,Hungwe Primary School,3200CHE0203,3,187,0,0,0,1,1,3,1,0,0,0,0,0,270,1,1,0,0,0,1,1,1,6,0,477,471
Chegutu,Chegutu East,Chegutu RDC,2,Neuso Primary School,3200CHE0204 A,4,175,4,1,0,1,0,2,1,3,0,0,0,0,251,1,0,0,1,1,1,0,0,10,0,456,446
Chegutu,Chegutu East,Chegutu RDC,2,Neuso Primary School,3200CHE0204 B,1,183,3,0,0,3,2,7,0,0,1,0,0,2,242,2,0,3,1,0,2,0,1,11,0,464,453
Chegutu,Chegutu East,Chegutu RDC,2,Nyatsambo Primary School,3200CHE0205,1,188,1,0,0,0,0,5,1,1,0,0,0,0,102,1,0,0,1,1,0,0,0,5,0,307,302
Chegutu,Chegutu East,Chegutu RDC,2,Nyatsanga Primary School,3200CHE0206,7,446,3,0,0,0,0,4,0,2,1,0,0,1,167,4,0,0,1,0,0,1,1,7,0,645,638
Chegutu,Chegutu East,Chegutu RDC,2,Rukuma Primary School,3200CHE0207,0,46,0,0,0,1,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,72,70
,,,,,Ward Total,22,1457,13,1,1,6,3,25,3,9,3,1,1,4,1460,13,1,6,6,2,4,2,4,48,0,3095,3047
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
