Extra votes, DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO.,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
1,Chirumanzu,Chirumanzu,Takawira RDC,1,Mapiravana Secondary School,7700TAK0106,4,174,2,0,0,1,0,2,0,0,0,0,0,1,173,1,0,0,0,0,1,0,0,8,1,367,359
1,Chirumanzu,Chirumanzu,Takawira RDC,5,Muzeza Primary School,7700TAK0503,5,170,0,0,0,0,0,2,0,0,0,0,0,1,209,1,0,3,0,0,0,0,0,3,1,394,391
-1,Chirumanzu,Chirumanzu,Takawira RDC,8,Charandura Council Hall,7700TAK0802,2,192,0,0,0,0,0,3,0,0,0,0,2,1,161,1,0,1,0,0,0,0,0,2,0,366,363
-1,Chirumanzu,Chirumanzu,Takawira RDC,23,Govere Primary School,7700TAK2301,0,134,0,0,0,0,0,3,0,0,0,0,0,1,181,3,0,2,1,0,0,1,1,4,0,332,327
1,Chirumanzu,Chirumanzu,Takawira RDC,23,Taringana Secondary School,7700TAK2305,4,67,3,0,0,0,0,2,0,0,0,0,0,0,107,1,0,0,0,1,0,0,0,2,1,187,185
1,Gweru,Mkoba,Gweru Municipality,15,Mkoba 16 Business Centre Tent,2901GWEM1503 A,2,424,1,0,0,0,0,4,0,0,0,0,1,0,123,0,0,2,5,0,1,0,0,1,1,564,563
1,Kwekwe,Mbizo,Kwekwe Municipality,3,Section 6 Towerlight Tent,5801KWE0304 B,1,535,3,0,0,1,0,3,0,0,0,0,0,1,170,1,0,1,2,0,0,0,2,22,1,742,720
1,Kwekwe,Redcliff,Zibagwe RDC,23,St. Joseph Primary School,5800ZBG2305,0,47,0,0,0,0,0,3,0,1,0,0,0,0,68,0,1,0,0,0,2,0,0,2,1,124,122
1,Kwekwe,Zhombe,Zibagwe RDC,14,St.Theresa Nduku Primary School,5800ZBG1405 B,5,130,4,1,1,1,3,13,1,1,1,0,0,0,265,3,2,1,0,1,0,1,1,12,1,447,435
2,Shurugwi,Shurugwi North,Tongogara RDC,18,Dombojena Primary School,6600TON1804,3,67,2,0,0,2,0,3,0,0,0,1,0,0,372,2,1,1,1,1,1,0,0,19,2,476,457
2,Zvishavane,Zvishavane Ngezi,Runde RDC,5,Village 6 community hall,6700RDC0506,0,21,0,0,0,0,1,2,0,1,0,0,0,0,129,1,1,0,0,0,0,0,0,5,2,161,156
1,Zvishavane,Zvishavane Ngezi,Runde RDC,19,Dadaya Primary School,6700RDC1903,0,93,1,0,0,0,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,1,1,153,152
1,Gwanda,Gwanda South,Gwanda RDC,18,Tshanyaugwe Primary School,2800GWA1803,1,85,0,0,0,2,1,3,0,0,0,0,1,0,419,3,0,0,2,1,4,1,1,10,1,534,524
1,Bindura,Bindura South,Bindura RDC,9,Matapi Business Centre Tent,0500BIN0903,1,227,3,0,3,0,1,10,0,2,1,0,0,2,443,0,2,1,0,0,1,2,3,9,1,711,702
1,Bindura,Bindura South,Bindura RDC,12,Masembura Primary School,0500BIN1203,3,140,1,0,0,1,2,4,0,0,1,0,0,1,651,1,1,0,1,0,2,1,0,6,1,816,810
1,Bindura,Bindura South,Bindura RDC,15,Nyava Primary School,0500BIN1502,1,339,2,0,0,1,0,3,0,0,0,1,0,1,490,2,1,0,6,0,1,0,0,5,1,853,848
1,Guruve,Guruve South,Guruve RDC,1,Siyalima Primary School,7100GVE0106,0,14,0,0,0,1,1,0,0,0,0,1,0,0,885,0,0,0,0,0,1,0,1,1,1,905,904
1,Guruve,Guruve South,Guruve RDC,1,Tengenenge Art Centre Tent,7100GVE0107,1,57,0,0,1,1,0,1,0,1,0,0,0,0,734,0,0,1,0,1,0,0,0,4,1,802,798
1,Guruve,Guruve South,Guruve RDC,22,Gezi Business Centre Tent,7100GVE2202,2,130,2,0,1,1,1,3,2,0,0,1,0,1,535,1,2,0,1,0,4,0,0,7,1,694,687
3,Mazowe,Mazowe Central,Mazowe RDC,7,Nyakudya Secondary School,1500MAZ0702,9,205,2,0,1,0,0,3,0,0,0,0,0,1,449,1,0,1,0,1,0,0,1,8,3,682,674
1,Mazowe,Mazowe Central,Mazowe RDC,9,Musarara Primary School,1500MAZ0904,5,288,1,0,0,0,0,6,1,0,0,0,0,0,319,7,1,0,0,0,0,0,0,6,1,634,628
1,Mazowe,Mazowe Central,Mazowe RDC,10,Kakora Secondary School A,1500MAZ1003 A,1,317,0,0,1,0,0,7,0,0,0,0,0,3,496,1,0,1,1,0,0,0,1,20,1,849,829
1,Mazowe,Mazowe North,Mazowe RDC,3,Bare Secondary School A,1500MAZ0301 A,3,147,0,1,1,0,1,0,0,0,0,0,0,0,416,0,0,1,1,0,0,1,1,10,1,583,573
1,Mazowe,Mazowe South,Mazowe RDC,17,Tsungubvi Community Hall A,1500MAZ1702 A,0,323,1,0,1,1,0,1,0,0,0,0,0,0,310,1,0,3,2,0,0,0,0,5,1,648,643
1,Mbire,Mbire,Mbire RDC,5,Musengezi Primary School,4600MBR0503,1,67,2,1,0,3,0,1,0,0,1,0,0,3,565,1,2,0,0,1,0,0,1,21,1,670,649
1,Mt Darwin,Mt Darwin North,Pfura RDC,34,Zambara Primary School,4500PFU3404,3,98,4,0,0,1,0,2,0,0,0,2,2,0,468,1,0,0,27,0,3,0,0,12,1,623,611
1,Mt Darwin,Mt Darwin South,Pfura RDC,27,Chindunduma High School,4500PFU2701,2,45,0,0,0,0,1,2,0,0,0,0,0,0,494,2,0,0,0,0,0,0,1,14,1,561,547
2,Muzarabani,Muzarabani North,Muzarabani RDC,5,Kapembere Primary School,1100MUZ0501,1,66,1,0,0,1,0,0,0,0,0,0,0,0,400,1,0,0,0,0,1,1,2,5,2,479,474
1,Muzarabani,Muzarabani North,Muzarabani RDC,8,Muringazuva Primary School,1100MUZ0801,2,75,0,0,0,0,1,1,1,0,0,0,0,0,611,0,0,0,0,1,0,0,0,5,1,697,692
1,Muzarabani,Muzarabani North,Muzarabani RDC,8,Mushinye Village Tent,1100MUZ0803,0,14,0,0,0,0,1,0,1,0,0,0,0,0,322,0,0,0,0,0,0,0,0,5,1,343,338
1,Muzarabani,Muzarabani North,Muzarabani RDC,24,Machakwa Village Tent,1100MUZ2404,0,32,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,1,0,0,0,0,1,413,413
12,Muzarabani,Muzarabani South,Muzarabani RDC,16,Mukwengure Primary School,1100MUZ1601,1,79,0,0,0,3,0,1,0,0,0,0,1,1,608,1,0,1,0,0,1,0,0,6,12,703,697
1,Muzarabani,Muzarabani South,Muzarabani RDC,17,Mangurenje Primary School,1100MUZ1704,0,11,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,3,1,344,341
1,Muzarabani,Muzarabani South,Muzarabani RDC,25,Westbury Farm Tent,1100MUZ2502,1,38,0,0,0,1,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,5,1,681,676
3,Muzarabani,Muzarabani South,Muzarabani RDC,28,Chidikamwedzi Primary School,1100MUZ2802,3,29,1,0,0,0,1,0,0,0,0,0,0,2,752,2,0,1,0,1,0,0,0,14,3,806,792
4,Rushinga,Rushinga,Rushinga RDC,15,Chimhanda Secondary School,6100RUS1501,4,186,1,0,0,0,0,1,0,0,0,1,0,1,378,1,0,1,8,1,0,0,0,3,4,586,583
