DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO,POLLING STATION,STATION CODE,Busha Joseph Makamba,Chamisa Nelson,Chikanga  Everisto Washington,Dzapasi Melbah ,Gava Peter Mapfumo ,Hlabangana Kwanele,Kasiyamhuru Blessing,Khupe Thokozani,Madhuku Lovemore,Mangoma Elton Steers,Manyika Noah Ngoni,Mapfumo Chiguvare Tonderayi Johannes Timothy,MARIYACHA Violet,Mhambi-Hove Divine,Mnangagwa Emmerson Dambudzo,Moyo Donald Nkosana ,Mteki Bryn Taurai,Mugadza Willard Tawonezvi,Mujuru Joice Teurai Ropa,Munyanduri Tenda Peter,MutinhirI Ambrose,Shumba Kuzozvirava Doniel,Wilson Peter Harry,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chirumanzu,Chirumanzu,Takawira RDC,1,Chiweshe A Primary School,7700TAK0101,1,120,1,0,0,1,1,2,0,0,0,0,0,0,149,2,0,0,0,0,0,0,0,7,0,284,277
Chirumanzu,Chirumanzu,Takawira RDC,1,Chiweshe B Primary School,7700TAK0102,1,107,0,0,0,0,0,2,0,0,0,0,0,1,113,1,1,0,0,0,0,0,0,3,0,229,226
Chirumanzu,Chirumanzu,Takawira RDC,1,Magada Primary School,7700TAK0103,0,82,0,0,0,0,0,2,0,0,0,0,0,1,190,1,0,0,1,0,0,1,0,3,0,281,278
Chirumanzu,Chirumanzu,Takawira RDC,1,Majandu Primary School,7700TAK0104,0,71,1,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,120,119
Chirumanzu,Chirumanzu,Takawira RDC,1,Mapiravana Primary School,7700TAK0105,1,83,0,0,0,1,0,1,0,0,1,0,1,0,124,1,0,1,2,0,0,0,1,3,0,220,217
Chirumanzu,Chirumanzu,Takawira RDC,1,Mapiravana Secondary School,7700TAK0106,4,174,2,0,0,1,0,2,0,0,0,0,0,1,173,1,0,0,0,0,1,0,0,8,1,367,359
Chirumanzu,Chirumanzu,Takawira RDC,2,Chaka Clinic,7700TAK0201,1,90,3,0,0,0,0,1,1,0,0,0,0,0,159,0,0,2,1,0,0,1,1,3,0,263,260
Chirumanzu,Chirumanzu,Takawira RDC,2,Gonawapotera A Secondary School,7700TAK0202,0,177,2,0,0,0,1,2,0,0,0,0,0,0,161,1,1,0,1,0,0,0,0,3,0,349,346
Chirumanzu,Chirumanzu,Takawira RDC,2,Gonawapotera B Secondary School,7700TAK0203,0,251,2,0,0,0,1,4,1,0,1,0,0,1,174,2,0,1,1,0,0,1,0,1,0,441,440
Chirumanzu,Chirumanzu,Takawira RDC,2,Makanya A Primary School,7700TAK0204,1,87,0,1,0,0,1,0,0,0,0,0,0,0,145,1,0,0,0,0,0,0,0,10,0,246,236
