Chamisa, Mnagagwa, Mnagagwa - Chamisa, % Mnagagwa - Chamisa, DISTRICT,CONSTITUENCY,LOCAL AUTHORITY,WARD NO.,POLLING STATION,STATION CODE
15,214,199,86,Chirumanzu,Chirumanzu,Takawira RDC,4,Juru/Godza Business Centre Tent,7700TAK0404
17,228,211,86,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,12,Maware Primary School,7700TAK1204
17,223,206,85,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,15,Nyikavanhu Primary School,7700TAK1504
10,142,132,86,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,16,Mudzengi Primary School,7700TAK1604
33,337,304,82,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,16,Utah Primary School,7700TAK1605
22,346,324,88,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,19,Game Park Lodge Tent,7700TAK1904
5,135,130,92,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,19,Manyora Homestead Tent,7700TAK1905
10,218,208,91,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,19,Piki Business Centre Tent,7700TAK1908
20,202,182,81,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,20,Chakasteadt Primary School,7700TAK2001
21,206,185,81,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,20,Village 9 Tent,7700TAK2010
3,49,46,88,Chirumanzu,Chirumanzu/Zibagwe,Takawira RDC,22,Makomborero Co-operative Tent,7700TAK2203
22,232,210,82,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,1,Milsonia Village 9 Tent,5800ZBG0104
21,226,205,82,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,1,Mopani Park Primary School,5800ZBG0105
14,135,121,81,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,1,Sultana Farm House,5800ZBG0107
3,89,86,93,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,2,Lorraine farm house Farm,5800ZBG0203
34,383,349,83,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,2,Pauldale Primary School,5800ZBG0205
23,261,238,83,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,2,Rockvale Farm Tent,5800ZBG0206
18,283,265,88,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,31,Belgrave House Farm,5800ZBG3101
30,304,274,82,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,31,Bonwei Primary School,5800ZBG3102
31,410,379,85,Kwekwe,Chirumanzu/Zibagwe,Zibagwe RDC,31,Creek Delville Wood Farm Tent,5800ZBG3103
16,188,172,84,Gokwe North,Gokwe-Chireya,Gokwe North RDC,4,Chiromo Primary School,2600GON0402
6,435,429,97,Gokwe North,Gokwe-Chireya,Gokwe North RDC,4,Mavimbi Primary School,2600GON0406
13,390,377,93,Gokwe North,Gokwe-Chireya,Gokwe North RDC,7,Chomukuyu Primary School,2600GON0702
36,805,769,91,Gokwe North,Gokwe-Chireya,Gokwe North RDC,7,Murunguziva Primary School,2600GON0705
44,437,393,81,Gokwe North,Gokwe-Chireya,Gokwe North RDC,9,Jaramba Point Tent,2600GON0901
2,165,163,97,Gokwe North,Gokwe-Chireya,Gokwe North RDC,9,Mukamba Tent,2600GON0903
17,202,185,84,Gokwe North,Gokwe-Chireya,Gokwe North RDC,10,Masosoni Primary School,2600GON1003
29,692,663,91,Gokwe North,Gokwe-Chireya,Gokwe North RDC,10,Mudondo Primary School,2600GON1004
37,474,437,85,Gokwe North,Gokwe-Chireya,Gokwe North RDC,33,Chiodza Primary School,2600GON3301
26,440,414,88,Gokwe North,Gokwe-Chireya,Gokwe North RDC,33,New Mine Primary School,2600GON3304
65,647,582,81,Gokwe North,Gokwe-Chireya,Gokwe North RDC,35,Musape Ground Tent,2600GON3503
9,160,151,89,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,17,Chimhamhari Business Centre Tent,2600GON1701
25,372,347,87,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,17,Nyamatsito Primary School,2600GON1705
25,375,350,87,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,18,Mawere Collect Point Tent,2600GON1804
19,351,332,89,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,18,Zvanaka Primary School,2600GON1805
45,429,384,81,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,20,Hwadze Primary School,2600GON2002
33,486,453,87,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,20,Village 17b Tent,2600GON2004
50,621,571,85,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,21,Mangorohwe Primary School,2600GON2101
6,266,260,95,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,21,Mbowa Business Centre Tent,2600GON2102
27,477,450,89,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,21,Village 10b Tent,2600GON2105
12,836,824,97,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,22,Copper Queen Mine Tent,2600GON2201
22,364,342,88,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,22,Mutukanyi Primary School,2600GON2204
25,287,262,83,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,32,Budiriro Primary School,2600GON3201
9,167,158,89,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,32,Makwiyo Business Centre Tent,2600GON3203
22,219,197,81,Gokwe North,Gokwe-Gumunyu,Gokwe North RDC,32,Mutsiva Dip Tank Tent,2600GON3204
30,432,402,87,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,3,Hongoro Primary School,2600GON0302 A
39,430,391,83,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,3,Hongoro Primary School,2600GON0302 B
19,436,417,91,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,5,Chemhondoro Primary School,2600GON0501 A
16,438,422,92,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,5,Chemhondoro Primary School,2600GON0501 B
64,757,693,84,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,5,Chidora Primary School,2600GON0502
7,357,350,96,Gokwe North,Gokwe-Kabuyuni,Gokwe North RDC,27,Maranga Point Tent,2600GON2701
40,527,487,85,Gokwe South,Gokwe Central,Gokwe South RDC,19,Zanda Business Centre Tent,2300GOS1908
5,310,305,96,Gokwe South,Gokwe Central,Gokwe South RDC,20,Chikodzongo Business Centre Tent,2300GOS2002
37,445,408,84,Gokwe South,Gokwe Kana,Gokwe South RDC,26,Kambe Primary School,2300GOS2602
15,321,306,91,Gokwe South,Gokwe Kana,Gokwe South RDC,26,Ndandulo Business Centre Tent,2300GOS2604
32,507,475,88,Gokwe South,Gokwe Mapfungautsi,Gokwe South RDC,24,Makadhi Business Centre Tent,2300GOS2404
34,416,382,84,Gokwe South,Gokwe Sengwa,Gokwe South RDC,4,Manyena Primary School,2300GOS0404
46,480,434,82,Gokwe South,Gokwe Sengwa,Gokwe South RDC,6,Guyu Business Centre Tent,2300GOS0602
20,256,236,85,Gweru,Chiwundura,Vungu RDC,9,Riverdale Primary School,2900VUN0905
17,188,171,83,Gweru,Chiwundura,Vungu RDC,16,Lourdon Primary School,2900VUN1604
31,394,363,85,Gweru,Chiwundura,Vungu RDC,16,Stormvale Tent,2900VUN1609
32,358,326,83,Gweru,Vungu,Vungu RDC,1,North Shangani Homestead,2900VUN0103
6,96,90,88,Gweru,Vungu,Vungu RDC,17,Drummond Farm House Tent,2900VUN1702
19,244,225,85,Gweru,Vungu,Vungu RDC,19,Julena Primary School,2900VUN1902
21,282,261,86,Kwekwe,Redcliff,Zibagwe RDC,3,Bonaccord Primary School,5800ZBG0301
23,237,214,82,Kwekwe,Redcliff,Zibagwe RDC,3,Melrose Primary School,5800ZBG0304
20,276,256,86,Kwekwe,Redcliff,Zibagwe RDC,3,Newlands Primary School,5800ZBG0305
24,306,282,85,Kwekwe,Redcliff,Zibagwe RDC,3,Swaartlagte Primary School,5800ZBG0308
39,403,364,82,Kwekwe,Redcliff,Zibagwe RDC,24,Langton Farm Tent.,5800ZBG2402 A
43,410,367,81,Kwekwe,Redcliff,Zibagwe RDC,24,Langton Farm Tent.,5800ZBG2402 B
12,129,117,82,Kwekwe,Redcliff,Zibagwe RDC,30,Amatava Farm House Tent,5800ZBG3001
11,123,112,83,Kwekwe,Redcliff,Zibagwe RDC,30,Erin Homestead Tent,5800ZBG3002
22,215,193,81,Kwekwe,Redcliff,Zibagwe RDC,30,Hurudza Primary School,5800ZBG3003
54,561,507,82,Kwekwe,Redcliff,Zibagwe RDC,30,Moyo (Bvumira) Primary School,5800ZBG3005
5,79,74,88,Kwekwe,Redcliff,Zibagwe RDC,30,Penwarden Farm Tent,5800ZBG3006
18,206,188,83,Kwekwe,Silobela,Zibagwe RDC,4,Maywood Primary School,5800ZBG0404
49,545,496,83,Kwekwe,Silobela,Zibagwe RDC,5,Kotamayi Primary School,5800ZBG0501
18,485,467,92,Kwekwe,Silobela,Zibagwe RDC,5,Zivagwe Primary School,5800ZBG0504
47,480,433,82,Kwekwe,Silobela,Zibagwe RDC,15,Mutimutema Primary School,5800ZBG1502
12,174,162,87,Kwekwe,Silobela,Zibagwe RDC,17,Gwarazimba Business Centre Tent,5800ZBG1702
3,137,134,95,Mberengwa,Mberengwa North,Mberengwa RDC,1,Zion Church Tent,0300MBG0103
37,364,327,81,Mberengwa,Mberengwa North,Mberengwa RDC,1,Zvikombe Primary School,0300MBG0104
10,454,444,95,Mberengwa,Mberengwa North,Mberengwa RDC,2,Chomubhobho Business Centre Tent A,0300MBG0201 A
17,454,437,92,Mberengwa,Mberengwa North,Mberengwa RDC,2,Chomubhobho Business Centre Tent B,0300MBG0201 B
10,733,723,97,Mberengwa,Mberengwa North,Mberengwa RDC,2,Ivhukuvanhu Primary School,0300MBG0202
8,79,71,81,Mberengwa,Mberengwa North,Mberengwa RDC,2,Rupemba Primary School,0300MBG0205
51,494,443,81,Mberengwa,Mberengwa North,Mberengwa RDC,2,Vanguard Primary School A,0300MBG0206 A
47,480,433,82,Mberengwa,Mberengwa North,Mberengwa RDC,2,Vanguard Primary School B,0300MBG0206 B
29,389,360,86,Mberengwa,Mberengwa North,Mberengwa RDC,15,Magavakava Primary School,0300MBG1502
33,495,462,87,Mberengwa,Mberengwa North,Mberengwa RDC,35,Cheshumba Primary School,0300MBG3501
16,505,489,93,Mberengwa,Mberengwa North,Mberengwa RDC,35,Gwengwena Primary School,0300MBG3502
33,552,519,88,Mberengwa,Mberengwa North,Mberengwa RDC,35,Kushinga Primary School A,0300MBG3503 A
47,516,469,83,Mberengwa,Mberengwa North,Mberengwa RDC,35,Kushinga Primary School B,0300MBG3503 B
13,227,214,89,Mberengwa,Mberengwa North,Mberengwa RDC,35,Mberengwa Vocational Training Centre,0300MBG3504
39,587,548,87,Mberengwa,Mberengwa North,Mberengwa RDC,36,Bungwe Primary School,0300MBG3601
27,442,415,88,Mberengwa,Mberengwa North,Mberengwa RDC,36,C-Mine Clinic Tent,0300MBG3603
68,686,618,81,Mberengwa,Mberengwa North,Mberengwa RDC,36,Neta Business Centre Tent,0300MBG3605
32,376,344,84,Mberengwa,Mberengwa South,Mberengwa RDC,19,Garenyama Primary School,0300MBG1901
13,260,247,90,Mberengwa,Mberengwa South,Mberengwa RDC,24,Shayamavhudzi Business Centre Tent,0300MBG2403
28,359,331,85,Mberengwa,Mberengwa South,Mberengwa RDC,24,Vambare Primary School,0300MBG2404
14,231,217,88,Mberengwa,Mberengwa South,Mberengwa RDC,25,Mketi Clinic,0300MBG2501
18,236,218,85,Mberengwa,Mberengwa South,Mberengwa RDC,25,Sviba Primary School,0300MBG2504
20,210,190,82,Mberengwa,Mberengwa South,Mberengwa RDC,26,Chiturike Business Centre Tent,0300MBG2601
23,280,257,84,Mberengwa,Mberengwa South,Mberengwa RDC,27,Zebra Business Centre Tent,0300MBG2704
39,507,468,85,Mberengwa,Mberengwa South,Mberengwa RDC,28,Machingwe Primary School,0300MBG2802
7,80,73,83,Mberengwa,Mberengwa South,Mberengwa RDC,28,Makuta Business Centre Tent,0300MBG2803
7,232,225,94,Mberengwa,Mberengwa South,Mberengwa RDC,28,Masaga Business Centre Tent,0300MBG2805
32,306,274,81,Mberengwa,Mberengwa West,Mberengwa RDC,14,Chebvute Primary School,0300MBG1402
11,447,436,95,Mberengwa,Mberengwa West,Mberengwa RDC,29,Chimbapire Primary School,0300MBG2902
36,410,374,83,Mberengwa,Mberengwa West,Mberengwa RDC,29,Sandawana Primary School,0300MBG2905 B
17,179,162,82,Shurugwi,Shurugwi North,Tongogara RDC,1,Munikwa Primary School,6600TON0102
31,313,282,81,Shurugwi,Shurugwi North,Tongogara RDC,1,Tangley Ranch Primary School,6600TON0103
17,227,210,86,Shurugwi,Shurugwi North,Tongogara RDC,16,Dopota Primary School,6600TON1603
27,306,279,83,Shurugwi,Shurugwi North,Tongogara RDC,17,Beacon Kop Primary School,6600TON1701
12,128,116,82,Shurugwi,Shurugwi North,Tongogara RDC,17,Highlands Farm House Tent,6600TON1703
33,416,383,85,Shurugwi,Shurugwi North,Tongogara RDC,18,Boterekwa Primary School,6600TON1802
18,185,167,82,Shurugwi,Shurugwi North,Tongogara RDC,18,Mangwende Farm House Tent,6600TON1810
9,225,216,92,Shurugwi,Shurugwi North,Tongogara RDC,18,Pompey 2 Mine (William) Tent,6600TON1812
19,306,287,88,Shurugwi,Shurugwi North,Tongogara RDC,19,Gutsaruzhinji Primary School,6600TON1902
24,346,322,87,Shurugwi,Shurugwi South,Tongogara RDC,20,Marishongwe Primary School,6600TON2002
15,345,330,91,Shurugwi,Shurugwi South,Tongogara RDC,21,Reitfontein Tent,6600TON2103
28,440,412,88,Zvishavane,Zvishavane Ngezi,Runde RDC,3,Lundi Primary School,6700RDC0301
25,365,340,87,Zvishavane,Zvishavane Ngezi,Runde RDC,3,Muzvondiwa Business Centre Community Hall Tent,6700RDC0302
11,411,400,94,Zvishavane,Zvishavane Ngezi,Runde RDC,19,Zeederberg Borehole Tent,6700RDC1906
20,234,214,84,Zvishavane,Zvishavane Runde,Runde RDC,4,Mavhumashava Open Space Tent,6700RDC0401
20,235,215,84,Zvishavane,Zvishavane Runde,Runde RDC,8,Chamini Primary School,6700RDC0801
21,401,380,90,Zvishavane,Zvishavane Runde,Runde RDC,14,Chedope Primary School,6700RDC1401
36,502,466,86,Zvishavane,Zvishavane Runde,Runde RDC,14,Chirere Primary School,6700RDC1402
6,109,103,89,Zvishavane,Zvishavane Runde,Runde RDC,14,Finale Homestead Tent,6700RDC1403
20,319,299,88,Zvishavane,Zvishavane Runde,Runde RDC,14,Gwemvurachena Primary School,6700RDC1404
13,196,183,87,Beitbridge,Beitbridge East,Beitbridge RDC,1,Malabe Primary School,0200BBE0105
21,244,223,84,Beitbridge,Beitbridge East,Beitbridge RDC,2,Chabili Primary School,0200BBE0201
2,68,66,94,Beitbridge,Beitbridge East,Beitbridge RDC,2,Chapongwe Primary School,0200BBE0202
5,52,47,82,Beitbridge,Beitbridge East,Beitbridge RDC,2,Lukumbwe Diptank Tent,0200BBE0205
39,594,555,87,Beitbridge,Beitbridge East,Beitbridge RDC,3,Madaula Primary School,0200BBE0303
16,332,316,90,Beitbridge,Beitbridge East,Beitbridge RDC,3,Makombe Primary School,0200BBE0304
2,139,137,97,Beitbridge,Beitbridge East,Beitbridge RDC,3,Mandate Primary School,0200BBE0305
16,209,193,85,Beitbridge,Beitbridge East,Beitbridge RDC,6,Umzingwane Primary School,0200BBE0605
12,209,197,89,Beitbridge,Beitbridge East,Beitbridge RDC,13,Joko Primary School,0200BBE1302
2,132,130,97,Beitbridge,Beitbridge East,Beitbridge RDC,13,Kayansee (Matizwi) Primary School,0200BBE1303
15,268,253,89,Beitbridge,Beitbridge East,Beitbridge RDC,13,Lesanth Primary School,0200BBE1304
20,312,292,87,Beitbridge,Beitbridge West,Beitbridge RDC,4,Mugaladivha Primary School,0200BBE0404
5,108,103,91,Beitbridge,Beitbridge West,Beitbridge RDC,8,Shashe number 15 Tent,0200BBE0805
13,133,120,82,Beitbridge,Beitbridge West,Beitbridge RDC,10,Novhe Area Tent,0200BBE1004
21,210,189,81,Beitbridge,Beitbridge West,Beitbridge RDC,14,Mudzwiti Primary School,0200BBE1404
13,143,130,83,Bulilima,Bulilima East,Bulilima RDC,19,Fairview Primary School,5600BLM1902
1,73,72,97,Bulilima,Bulilima East,Bulilima RDC,19,Watershed Farm Tent,5600BLM1908
7,94,87,86,Bulilima,Bulilima West,Bulilima RDC,7,Muke Primary School,5600BLM0705
6,59,53,81,Bulilima,Bulilima West,Bulilima RDC,16,Village 18 Tent,5600BLM1603
