BULAWAYO METROPOLITAN PROVINCE 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,Busha Joseph Makamba FreeZim Congress,Chamisa Nelson MDC Alliance,Chikanga  Everisto Washington Rebuild Zimbabwe,Dzapasi Melbah # 1980 Freedom Movement Zimbabwe,Gava Peter Mapfumo UDF,Hlabangana Kwanele RPZ,Kasiyamhuru Blessing ZPP,Khupe Thokozani MDC-T,Madhuku Lovemore NCA,Mangoma Elton Steers Coalition of Democrats,Manyika Noah Ngoni BZA,Mapfumo Chiguvare Tonderayi Johannes Timothy PPPZ,MARIYACHA Violet UDM,Mhambi-Hove Divine NAPDR,Mnangagwa Emmerson Dambudzo ZANU PF,Moyo Donald Nkosana APA,Mteki Bryn Taurai Independent,Mugadza Willard Tawonezvi BCP,Mujuru Joice Teurai Ropa PRC,Munyanduri Tenda Peter NPF,MutinhirI Ambrose NPF,Shumba Kuzozvirava Doniel UDA,Wilson Peter Harry DOP,Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,Bulawayo Central Constituency,,,,,,,,,,,,,,,,,,,,,,,,       ,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,City Hall A,0801BYO0101 A,1,511,0,0,0,1,3,12,0,0,1,0,0,0,200,12,0,1,1,0,0,1,0,10,0,754,744
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,City Hall B,0801BYO0101 B,1,491,1,0,0,1,0,18,0,3,0,0,0,0,213,5,0,0,1,0,0,0,0,6,0,740,734
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Eveline High School,0801BYO0102,0,375,0,0,0,0,0,4,0,0,0,0,0,0,131,7,1,2,1,0,0,0,0,3,0,524,521
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Mckeurtan Primary School,0801BYO0103,0,129,0,0,0,0,0,4,0,0,0,0,0,0,80,1,0,0,0,1,0,0,0,2,0,217,215
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Milton Junior School,0801BYO0104,0,213,0,0,0,0,0,6,0,0,1,0,0,0,61,10,0,0,1,0,0,0,0,0,0,292,292
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Old Bulawayo Polytechnic,0801BYO0105,0,170,0,0,0,0,0,1,0,0,0,0,0,0,69,4,0,0,0,0,0,0,0,1,0,245,244
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Peter Pan Nursery School,0801BYO0106,0,245,2,0,0,1,2,4,0,0,0,0,0,0,97,3,0,0,0,0,0,0,0,2,0,356,354
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Pick and Pay Tent,0801BYO0107,1,328,0,1,0,0,0,6,0,0,0,0,0,0,193,2,0,1,3,0,0,0,1,0,0,536,536
Bulawayo,Bulawayo Central,Bulawayo Municipality,1,Robert Tredgold Primary School,0801BYO0108,0,140,0,0,0,0,0,3,0,0,0,0,0,0,78,0,0,1,0,0,0,0,0,3,0,225,222
,,,,9 Polling Stations,Ward Total,3,"2,602",3,1,0,3,5,58,0,3,2,0,0,0,"1,122",44,1,5,7,1,0,1,1,27,0,"3,889","3,862"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Airport Primary School,0801BYO0201,0,159,0,0,0,0,0,1,0,0,0,0,0,0,51,1,0,0,0,0,0,0,0,2,0,214,212
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Aiselby Primary School,0801BYO0202,1,84,1,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,103,103
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Infants School,0801BYO0203,0,260,1,0,0,0,0,11,1,0,1,0,1,0,100,3,1,0,1,0,0,0,0,2,0,382,380
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Junior School A,0801BYO0204 A,1,402,1,2,0,2,1,5,0,0,2,0,0,0,177,2,0,0,0,0,0,0,0,4,0,599,595
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Baines Junior School B,0801BYO0204 B,0,424,1,1,1,1,1,10,0,0,0,1,0,0,152,8,0,0,1,1,0,1,0,7,0,610,603
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Falls Garage Tent,0801BYO0205,1,167,0,0,0,0,0,8,0,0,2,0,0,0,63,1,0,0,2,0,0,0,0,1,0,245,244
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Harrisvale Hide out Tent,0801BYO0206,1,197,0,0,0,1,1,4,0,0,0,0,0,0,97,6,0,0,4,0,1,0,0,4,0,316,312
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Hugh Beadle Primary School A,0801BYO0207 A,1,470,0,0,0,0,0,12,0,0,0,0,0,0,238,4,1,0,3,0,0,0,0,7,4,736,729
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Hugh Beadle Primary School B,0801BYO0207 B,1,454,2,0,0,2,0,7,0,1,1,0,0,0,242,3,0,2,2,0,0,1,0,4,0,722,718
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Body and Blood Roman Catholic Church,0801BYO0208,0,78,1,0,0,0,0,2,0,0,0,0,0,0,52,1,0,0,3,0,0,0,0,0,0,137,137
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Montgomery Hall,0801BYO0209,2,450,1,0,0,2,2,26,1,0,0,0,1,0,197,5,0,0,4,0,2,0,0,4,1,697,693
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Newmansford Primary School,0801BYO0210,1,478,1,1,0,0,1,16,0,0,0,0,1,0,272,4,0,2,10,1,0,1,0,9,0,798,789
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Ngozi Mine,0801BYO0211,0,13,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,21,20
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Norwood Tent,0801BYO0212,3,20,0,1,0,0,0,4,0,0,0,0,1,0,40,3,1,0,2,0,0,0,0,2,0,77,75
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Northend Shopping Centre Tent,0801BYO0213,0,436,1,0,0,1,0,15,0,0,1,0,0,0,185,2,0,0,3,0,1,0,1,2,0,648,646
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Northlea High School,0801BYO0214,1,115,0,0,1,0,0,6,0,0,0,0,0,0,75,2,0,1,0,0,0,0,0,7,0,208,201
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Pig Farm (Umvutsha) Tent,0801BYO0215,0,77,0,0,0,0,1,6,0,1,1,1,0,0,41,1,0,1,6,1,1,0,0,5,0,143,138
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Richmond Club,0801BYO0216,0,60,0,0,0,1,0,1,0,0,0,0,0,0,35,1,0,0,3,0,1,0,0,2,0,104,102
Bulawayo,Bulawayo Central,Bulawayo Municipality,2,Richmond Hall,0801BYO0217,0,288,0,0,0,2,0,8,0,0,0,0,0,0,99,4,0,0,9,1,0,0,0,3,0,414,411
