MASHONALAND CENTRAL PROVINCE:  2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Bindura,Bindura North,Bindura Municipality,1,Bindura Hospital Tent A,0501BMU0101 A,0,521,0,0,0,0,0,1,0,0,0,0,0,0,230,1,1,0,2,0,1,0,0,4,0,761,757
Bindura,Bindura North,Bindura Municipality,1,Bindura Hospital Tent B,0501BMU0101 B,2,523,1,0,0,0,0,1,0,0,0,0,0,0,219,1,0,0,0,0,1,0,0,3,0,751,748
Bindura,Bindura North,Bindura Municipality,1,Bindura Primary School,0501BMU0102,0,546,0,0,0,0,0,1,0,0,0,0,0,0,257,3,0,1,2,1,0,0,0,9,0,820,811
,,,              3 Polling Stations,,Ward Total,2,"1,590",1,0,0,0,0,3,0,0,0,0,0,0,706,5,1,1,4,1,2,0,0,16,0,"2,332","2,316"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,2,Bindura University New Site Tent,0501BMU0201,2,212,0,0,0,1,0,1,0,0,0,0,0,1,245,0,0,3,2,1,1,1,0,7,0,477,470
Bindura,Bindura North,Bindura Municipality,2,Shashi View Primary School,0501BMU0202,1,218,0,0,0,0,0,0,0,0,0,0,0,0,114,1,0,1,0,0,0,0,0,2,0,337,335
Bindura,Bindura North,Bindura Municipality,2,Zimbabwe Open University Tent,0501BMU0203,0,253,0,1,0,1,0,5,1,0,0,0,0,0,258,1,1,0,4,2,0,0,0,5,0,532,527
,,,,3 Polling Stations,Ward Total,3,683,0,1,0,2,0,6,1,0,0,0,0,1,617,2,1,4,6,3,1,1,0,14,0,"1,346","1,332"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,3,Chipindura High School,0501BMU0301,0,271,0,0,0,0,0,3,0,0,0,0,0,0,156,1,0,0,3,0,0,0,0,3,0,437,434
Bindura,Bindura North,Bindura Municipality,3,DA’s Office Tent,0501BMU0302,0,252,1,0,0,0,1,1,0,0,0,0,1,0,165,0,0,0,1,0,0,0,0,1,0,423,422
,,,,2 Polling Stations,Ward Total,0,523,1,0,0,0,1,4,0,0,0,0,1,0,321,1,0,0,4,0,0,0,0,4,0,860,856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,4,Bindura Musika Open Space Tent,0501BMU0401,0,318,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,1,0,0,0,0,3,0,477,474
Bindura,Bindura North,Bindura Municipality,4,Salvation Army Primary School,0501BMU0402,0,317,0,0,0,0,0,2,0,0,0,0,0,0,195,1,0,0,7,0,0,0,0,3,0,525,522
,,,,2 Polling Stations,Ward Total,0,635,0,0,0,0,0,2,0,0,0,0,0,0,350,1,0,0,8,0,0,0,0,6,0,"1,002",996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,5,Chipadze Primary School A,0501BMU0501 A,1,376,0,1,0,0,0,2,0,0,0,0,1,0,160,0,0,2,0,0,0,0,0,7,0,550,543
Bindura,Bindura North,Bindura Municipality,5,Chipadze Primary School B,0501BMU0501 B,1,364,1,0,0,0,0,3,0,0,0,0,0,0,175,1,1,0,4,0,0,0,0,0,0,550,550
,,,,2 Polling Stations,Ward Total,2,740,1,1,0,0,0,5,0,0,0,0,1,0,335,1,1,2,4,0,0,0,0,7,0,"1,100","1,093"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bindura,Bindura North,Bindura Municipality,6,Chipindura A Primary School,0501BMU0601,2,512,0,0,0,0,0,2,0,0,0,0,0,0,227,1,0,2,6,1,0,0,0,6,0,759,753
Bindura,Bindura North,Bindura Municipality,6,Chipindura B Primary School,0501BMU0602,1,351,1,0,0,0,0,2,0,0,0,0,1,0,130,0,0,0,4,0,1,0,0,6,0,497,491
,,,,2 Polling Stations,Ward Total,3,863,1,0,0,0,0,4,0,0,0,0,1,0,357,1,0,2,10,1,1,0,0,12,0,"1,256","1,244"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
