MASHONALAND EAST PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,FACILITY,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive Party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chikomba,Chikomba Central ,Chikomba RDC,3,Chomunhenzva Primary School,1800CHIK0301,2,102,0,0,0,0,1,3,0,0,0,0,0,0,65,0,0,0,3,0,0,1,0,1,0,178,177
Chikomba,Chikomba Central ,Chikomba RDC,3,Dombo Primary School,1800CHIK0302,0,83,0,0,0,2,0,2,0,0,0,0,0,0,64,1,1,1,3,0,1,2,0,2,0,162,160
Chikomba,Chikomba Central ,Chikomba RDC,3,Matirige Primary School,1800CHIK0303,0,78,0,0,2,0,0,0,0,0,0,0,0,0,102,1,0,0,0,0,0,0,0,0,0,183,183
Chikomba,Chikomba Central ,Chikomba RDC,3,Zabe Primary School,1800CHIK0304,1,27,0,0,0,1,0,0,0,0,0,0,0,0,60,2,0,0,0,0,0,0,0,3,0,94,91
,,,,4 Polling Stations,WARD TOTAL,3,290,0,0,2,3,1,5,0,0,0,0,0,0,291,4,1,1,6,0,1,3,0,6,0,617,611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikomba,Chikomba Central ,Chikomba RDC,14,Banza Primary School,1800CHIK1401,0,57,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,0,1,0,0,0,0,0,0,98,98
Chikomba,Chikomba Central ,Chikomba RDC,14,Bvumbura Primary School,1800CHIK1402,1,59,1,0,0,0,0,0,0,0,0,0,0,0,58,1,0,0,1,1,0,0,0,2,0,124,122
Chikomba,Chikomba Central ,Chikomba RDC,14,Chikwidibire Primary School,1800CHIK1403,2,79,2,1,2,0,0,0,0,0,0,0,1,0,89,0,0,0,1,1,0,0,0,5,0,183,178
Chikomba,Chikomba Central ,Chikomba RDC,14,Murezi Primary School,1800CHIK1404,1,54,1,0,0,0,0,0,0,0,0,0,0,0,94,2,0,0,0,0,0,0,1,3,0,156,153
