MATABELELAND NORTH PROVINCE : 2018 HARMONISED PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,Busha Joseph Makamba FreeZim Congress,"Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,,,,,,,,,,,BINGA NORTH CONSTITUENCY,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,1,Luunga Primary School,0600BGA0101,0,160,1,0,0,0,0,0,1,0,0,1,0,0,148,1,0,0,0,0,0,1,0,5,0,318,313
Binga,Binga North,Binga RDC,1,Nsengwa Fishing Camp Tent,0600BGA0102,0,17,1,0,1,0,1,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,1,1,0,64,63
Binga,Binga North,Binga RDC,1,Mujele Fishing Camp Tent,0600BGA0103,0,28,0,1,0,0,0,1,0,0,0,0,0,0,20,0,1,1,0,0,0,0,3,3,0,58,55
Binga,Binga North,Binga RDC,1,Sinamunsanga Primary School,0600BGA0104,8,262,2,0,0,1,4,5,1,0,0,0,3,1,265,2,0,1,0,0,0,1,2,23,0,581,558
Binga,Binga North,Binga RDC,1,Sizemba Primary School,0600BGA0105,2,257,0,0,0,1,5,3,1,0,0,0,0,0,160,1,0,0,0,0,1,0,1,10,0,442,432
,,,,5 POLLING STATIONS,WARD TOTAL,10,724,4,1,1,2,10,9,3,0,0,1,3,1,633,6,1,2,0,0,1,2,7,42,0,1463,1421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,2,Chabwidi Primary School,0600BGA0201,0,118,1,0,0,2,1,1,0,0,0,0,0,1,209,0,0,0,1,1,2,1,4,12,0,354,342
Binga,Binga North,Binga RDC,2,Kalonga Primary School,0600BGA0202,2,368,1,0,1,5,4,6,0,2,0,0,0,3,93,4,0,0,0,1,2,0,1,34,0,527,493
Binga,Binga North,Binga RDC,2,Nakasako Primary School,0600BGA0203,3,152,1,0,1,0,0,3,0,0,0,0,0,1,14,1,0,0,2,0,1,0,4,14,0,197,183
Binga,Binga North,Binga RDC,2,Siabuwa Primary School,0600BGA0204,3,180,4,0,0,1,1,5,0,1,0,0,0,2,168,3,0,1,6,0,0,1,1,10,0,387,377
Binga,Binga North,Binga RDC,2,Siabuwa Secondary School,0600BGA0205,4,306,4,0,2,1,2,8,3,1,0,2,0,4,149,0,0,0,2,0,0,0,2,17,0,507,490
,,,,5 POLLING STATIONS,WARD TOTAL,12,1124,11,0,4,9,8,23,3,4,0,2,0,11,633,8,0,1,11,2,5,2,12,87,0,1972,1885
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,3,Chilamba Primary School,0600BGA0301,2,105,1,0,0,1,1,6,0,0,0,0,0,1,71,0,0,1,0,0,2,3,0,18,0,212,194
Binga,Binga North,Binga RDC,3,Nagangala Primary School A,0600BGA0302 A,3,292,3,1,1,1,3,15,1,0,0,0,0,2,51,7,1,5,0,1,1,2,1,14,0,405,391
Binga,Binga North,Binga RDC,3,Nagangala Primary School B,0600BGA0302 B,3,312,0,2,0,4,1,13,2,1,1,0,2,1,35,1,1,2,0,0,0,2,2,26,0,411,385
Binga,Binga North,Binga RDC,3,Nsambala Primary School,0600BGA0303,1,178,3,0,0,2,2,5,2,0,1,0,0,0,34,2,0,0,0,0,0,0,1,10,0,241,231
Binga,Binga North,Binga RDC,3,Sinampande Primary School,0600BGA0304,3,426,1,1,0,1,0,20,0,0,2,0,0,1,68,5,0,0,1,0,1,5,1,18,0,554,536
Binga,Binga North,Binga RDC,3,Zulangubo Business Centre Tent,0600BGA0305,5,327,3,1,0,1,2,10,1,0,0,0,1,1,61,0,0,1,0,0,0,2,2,2,0,420,418
,,,,6 POLLING STATIONS,WARD TOTAL,17,1640,11,5,1,10,9,69,6,1,4,0,3,6,320,15,2,9,1,1,4,14,7,88,0,2243,2155
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,4,Chitete Primary School,0600BGA0401,0,108,0,0,0,0,1,0,0,0,0,0,0,1,19,0,0,0,0,1,0,0,0,4,0,134,130
Binga,Binga North,Binga RDC,4,Mucheni Primary School,0600BGA0402,4,377,7,0,1,1,0,20,1,0,0,0,0,1,94,3,0,2,6,1,1,5,1,9,0,534,525
Binga,Binga North,Binga RDC,4,Sinansengwe Business Centre Tent,0600BGA0403,1,78,0,0,0,3,3,5,0,0,0,0,0,0,20,1,0,0,0,0,1,0,0,4,0,116,112
Binga,Binga North,Binga RDC,4,Sinansengwe Primary School,0600BGA0404,4,352,3,0,1,0,6,28,3,1,0,0,2,3,23,5,1,3,2,1,2,1,0,19,0,460,441
,,,,4 POLLING STATIONS,WARD TOTAL,9,915,10,0,2,4,10,53,4,1,0,0,2,5,156,9,1,5,8,3,4,6,1,36,0,1244,1208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,5,Chininga Primary School,0600BGA0501,1,239,0,0,1,0,0,5,1,0,0,1,0,0,90,1,0,2,0,0,0,1,0,12,0,354,342
Binga,Binga North,Binga RDC,5,Dongamuse Primary School,0600BGA0502,1,354,2,0,0,0,0,7,2,0,0,0,0,0,55,2,0,2,0,0,0,0,2,16,0,443,427
Binga,Binga North,Binga RDC,5,Nsenga Primary School A,0600BGA0503 A,0,358,2,0,1,2,2,1,0,1,0,0,0,0,163,1,1,0,1,1,1,1,0,18,0,554,536
Binga,Binga North,Binga RDC,5,Nsenga Primary School B,0600BGA0503 B,1,331,0,0,0,0,1,9,0,1,0,0,0,0,142,8,0,3,1,0,1,0,1,11,0,510,499
Binga,Binga North,Binga RDC,5,Nsungwale Primary School,0600BGA0504,1,199,1,0,1,1,0,5,1,0,0,0,0,1,130,4,0,1,0,1,0,3,1,11,0,361,350
,,,,5 POLLING STATIONS,WARD TOTAL,4,1481,5,0,3,3,3,27,4,2,0,1,0,1,580,16,1,8,2,2,2,5,4,68,0,2222,2154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binga,Binga North,Binga RDC,6,Damba Primary School,0600BGA0601,2,499,0,0,0,1,1,9,0,0,0,0,0,0,24,10,0,3,3,0,2,2,2,26,0,584,558
Binga,Binga North,Binga RDC,6,Manjolo High School,0600BGA0602,1,409,0,0,0,1,0,3,1,0,0,0,0,0,28,7,0,1,0,0,0,1,4,7,0,463,456
Binga,Binga North,Binga RDC,6,Masibinta Secondary School,0600BGA0603,2,551,1,0,0,0,1,5,1,0,1,0,0,0,49,8,0,1,11,0,0,2,2,37,0,672,635
