MIDLANDS PROVINCE 2018 HARMONISED ELECTIONS PRESIDENTIAL ELECTION RESULTS: 30 JULY 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATION NAME,Polling Station Code,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","Manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
National Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Chirumanzu,Chirumanzu,Takawira RDC,1,Chiweshe A Primary School,7700TAK0101,1,120,1,0,0,1,1,2,0,0,0,0,0,0,149,2,0,0,0,0,0,0,0,7,0,284,277
Chirumanzu,Chirumanzu,Takawira RDC,1,Chiweshe B Primary School,7700TAK0102,1,107,0,0,0,0,0,2,0,0,0,0,0,1,113,1,1,0,0,0,0,0,0,3,0,229,226
Chirumanzu,Chirumanzu,Takawira RDC,1,Magada Primary School,7700TAK0103,0,82,0,0,0,0,0,2,0,0,0,0,0,1,190,1,0,0,1,0,0,1,0,3,0,281,278
Chirumanzu,Chirumanzu,Takawira RDC,1,Majandu Primary School,7700TAK0104,0,71,1,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1,0,120,119
Chirumanzu,Chirumanzu,Takawira RDC,1,Mapiravana Primary School,7700TAK0105,1,83,0,0,0,1,0,1,0,0,1,0,1,0,124,1,0,1,2,0,0,0,1,3,0,220,217
Chirumanzu,Chirumanzu,Takawira RDC,1,Mapiravana Secondary School,7700TAK0106,4,174,2,0,0,1,0,2,0,0,0,0,0,1,173,1,0,0,0,0,1,0,0,8,1,367,359
,,,,6 Polling Stations,Ward Total,7,637,4,0,0,3,1,9,0,0,1,0,1,3,796,6,1,1,3,0,1,1,1,25,1,1501,1476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chirumanzu,Chirumanzu,Takawira RDC,2,Chaka Clinic,7700TAK0201,1,90,3,0,0,0,0,1,1,0,0,0,0,0,159,0,0,2,1,0,0,1,1,3,0,263,260
Chirumanzu,Chirumanzu,Takawira RDC,2,Gonawapotera A Secondary School,7700TAK0202,0,177,2,0,0,0,1,2,0,0,0,0,0,0,161,1,1,0,1,0,0,0,0,3,0,349,346
